numero,situacao,descricao,complemento,classificacao_contabil,localizacao_sistema,data_entrada,valor_compra,valor_atual,local_verificado,estado_conservacao,usuario,data_hora,usuario_bem,imagem,contagem
52,DOADO,FILTRO DE ÁGUA,ELETRICO TIPO GELAGUA - EM DESUSO,MÁQUINAS E EQUIPAMENTOS,CFC,20/03/1997,"280,00",1,02 - CCOM,Bom,Antônio Rodrigues,26/01/2026 16:58:57,Teste,,1
55,DOADO,CADEIRA,POLTRONA GIRATORIA COM BRACO VERMELHA,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,CFC,09/06/1998,"565,47","565,47",,,,,,,1
58,DOADO,CADEIRA,POLTRONA GIRATORIA COM BRACO VERMELHA,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,CFC,09/06/1998,"565,47","565,47",,,,,,,1
59,DOADO,CADEIRA,POLTRONA GIRATORIA COM BRACO VERMELHA,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,CFC,09/06/1998,"565,47","565,47",,,,,,,1
93,DOADO,CADEIRA,POLTRONA GIRATORIA COM BRACO VERMELHA,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,S3 - DEPÓSITO RAMPA,16/10/1998,"530,17","530,17",,,,,,,1
128,DOADO,MÁQUINA DE CAFÉ,MAQUINA PARA FAZER CAFE DE METAL SERIE 103015,UTENSÍLIOS DE COPA E COZINHA,,14/05/1999,"418,14","418,14",,,,,,,0
130,DOADO,CADEIRA,CADEIRA DE FERRO PATINA COM ALMOFADAS,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,S3 - DEPÓSITO RAMPA,31/12/1996,"75,94","75,94",,,,,,,1
131,DOADO,CADEIRA,CADEIRA DE FERRO PATINA COM ALMOFADAS,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,,31/12/1996,"75,94","75,94",,,,,,,0
137,DOADO,CADEIRA,CADEIRA DE FERRO PATINA COM ALMOFADAS,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,,31/12/1996,"75,94","75,94",,,,,,,0
139,DOADO,CADEIRA,CADEIRA DE FERRO PATINA COM ALMOFADAS,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,,31/12/1996,"75,94","75,94",,,,,,,0
142,DOADO,CADEIRA,CADEIRA DE FERRO PATINA COM ALMOFADAS,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,,31/12/1996,"75,94","75,94",,,,,,,0
